instanceID,village,respondent_wall_type,items_owned
uuid:2303ebc1-2b3c-475a-8916-b322ebf18440,Chirodzo,burntbricks,bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone
uuid:4267c33c-53a7-46d9-8bd6-b96f58a4f92c,Chirodzo,muddaub,solar_torch
uuid:18ac8e77-bdaf-47ab-85a2-e4c947c9d3ce,Chirodzo,muddaub,radio
uuid:6db55cb4-a853-4000-9555-757b7fae2bcf,Chirodzo,burntbricks,motorcyle;television;radio;cow_plough;solar_panel;mobile_phone
uuid:cc7f75c5-d13e-43f3-97e5-4f4c03cb4b12,Chirodzo,burntbricks,bicycle;radio;mobile_phone
uuid:273ab27f-9be3-4f3b-83c9-d3e1592de919,Chirodzo,muddaub,
uuid:883c0433-9891-4121-bc63-744f082c1fa0,Chirodzo,muddaub,television;cow_plough;mobile_phone
uuid:973c4ac6-f887-48e7-aeaf-4476f2cfab76,Chirodzo,burntbricks,motorcyle;bicycle;mobile_phone
uuid:a7184e55-0615-492d-9835-8f44f3b03a71,Chirodzo,burntbricks,radio
uuid:a7a3451f-cd0d-4027-82d9-8dcd1234fcca,Chirodzo,burntbricks,motorcyle;bicycle;television;radio;cow_plough;solar_panel;mobile_phone
uuid:1936db62-5732-45dc-98ff-9b3ac7a22518,Chirodzo,muddaub,
uuid:85465caf-23e4-4283-bb72-a0ef30e30176,Chirodzo,burntbricks,cow_plough
uuid:2401cf50-8859-44d9-bd14-1bf9128766f2,Chirodzo,muddaub,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;table;mobile_phone
uuid:c6597ecc-cc2a-4c35-a6dc-e62c71b345d6,Chirodzo,muddaub,bicycle;radio;mobile_phone
uuid:86ed4328-7688-462f-aac7-d6518414526a,Chirodzo,muddaub,
uuid:28cfd718-bf62-4d90-8100-55fafbe45d06,Chirodzo,muddaub,bicycle;solar_torch;table;sofa_set;mobile_phone
uuid:143f7478-0126-4fbc-86e0-5d324339206b,Chirodzo,burntbricks,motorcyle;radio;cow_plough;table
uuid:a457eab8-971b-4417-a971-2e55b8702816,Chirodzo,burntbricks,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;mobile_phone
uuid:6c15d667-2860-47e3-a5e7-7f679271e419,Chirodzo,burntbricks,motorcyle;radio;cow_plough;solar_panel;mobile_phone
uuid:ef04b3eb-b47d-412e-9b09-4f5e08fc66f9,Chirodzo,burntbricks,motorcyle;television;sterio;solar_panel;mobile_phone
uuid:f86933a5-12b8-4427-b821-43c5b039401d,Chirodzo,muddaub,bicycle;radio;solar_torch;mobile_phone
uuid:1feb0108-4599-4bf9-8a07-1f5e66a50a0a,Chirodzo,burntbricks,cow_cart;bicycle;radio;cow_plough;solar_panel;mobile_phone
uuid:761f9c49-ec93-4932-ba4c-cc7b78dfcef1,Ruaca,burntbricks,radio;cow_plough;mobile_phone
uuid:f6d04b41-b539-4e00-868a-0f62b427587d,Chirodzo,burntbricks,mobile_phone
uuid:429d279a-a519-4dcc-9f64-4673b0fd5d53,Ruaca,burntbricks,cow_cart;car;lorry;motorcyle;bicycle;television;sterio;cow_plough;solar_panel;solar_torch;electricity;table;sofa_set;mobile_phone;fridge
uuid:59738c17-1cda-49ee-a563-acd76f6bc487,Ruaca,burntbricks,motorcyle;bicycle;radio;sterio;cow_plough;solar_panel;mobile_phone
uuid:7e7961ca-fa1c-4567-9bfa-a02f876e4e03,Ruaca,burntbricks,
uuid:77b3021b-a9d6-4276-aaeb-5bfcfd413852,God,burntbricks,electricity
uuid:2186e2ec-f65a-47cc-9bc1-a0f36dd9591c,Ruaca,burntbricks,radio;cow_plough;solar_panel;mobile_phone
uuid:87998c33-c8d2-49ec-9dae-c123735957ec,God,sunbricks,motorcyle;television;cow_plough;solar_panel;mobile_phone
uuid:ece89122-ea99-4378-b67e-a170127ec4e6,Ruaca,muddaub,cow_plough;solar_panel
uuid:bf373763-dca5-4906-901b-d1bacb4f0286,God,sunbricks,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;mobile_phone
uuid:394033e8-a6e2-4e39-bfac-458753a1ed78,God,muddaub,solar_panel
uuid:268bfd97-991c-473f-bd51-bc80676c65c6,God,muddaub,cow_plough;mobile_phone
uuid:0a42c9ee-a840-4dda-8123-15c1bede5dfc,God,muddaub,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;mobile_phone
uuid:2c132929-9c8f-450a-81ff-367360ce2c19,God,burntbricks,cow_cart;bicycle;radio;cow_plough;solar_torch
uuid:44e427d1-a448-4bf2-b529-7d67b2266c06,God,burntbricks,radio;cow_plough;mobile_phone
uuid:85c99fd2-775f-40c9-8654-68223f59d091,God,burntbricks,bicycle;television;radio;cow_plough;solar_torch;table;mobile_phone
uuid:28c64954-739c-444c-a6e0-355878e471c8,God,burntbricks,
uuid:9e79a31c-3ea5-44f0-80f9-a32db49422e3,God,muddaub,bicycle;radio;solar_torch;mobile_phone
uuid:06d39051-38ef-4757-b68b-3327b1f16b9d,God,burntbricks,cow_cart;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone
uuid:c4a2c982-244e-45a5-aa4b-71fa53f99e18,Ruaca,muddaub,bicycle;radio;cow_plough
uuid:ac3da862-9e6c-4962-94b6-f4c31624f207,Ruaca,burntbricks,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;table;mobile_phone
uuid:4178a296-903a-4a8e-9cfa-0cd6143476e8,Ruaca,burntbricks,bicycle;radio;cow_plough;solar_panel;mobile_phone
uuid:a1e9df00-c8ae-411c-931c-c7df898c68d0,Ruaca,burntbricks,radio;cow_plough;solar_torch
uuid:4d0f472b-f8ae-4026-87c9-6b5be14b0a70,Ruaca,sunbricks,radio;cow_plough
uuid:b3b309c6-f234-4830-8b30-87d26a17ee1d,God,burntbricks,bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone
uuid:3c174acd-e431-4523-9ad6-eb14cddca805,God,muddaub,bicycle;solar_torch
uuid:e9d79844-ef14-493b-bbd6-d13691cc660e,Ruaca,sunbricks,cow_cart;cow_plough;solar_panel;sofa_set;mobile_phone
uuid:76206b0b-af74-4344-b24f-81e839f0d7b0,Ruaca,burntbricks,cow_plough;table;sofa_set;mobile_phone
uuid:da3fa7cc-5ce9-44fd-9a78-b8982b607515,Ruaca,burntbricks,cow_plough
uuid:a85df6df-0336-46fa-a9f4-522bf6f8b438,Ruaca,muddaub,cow_cart;bicycle;radio;cow_plough;solar_panel;solar_torch
uuid:bb2bb365-7d7d-4fe9-9353-b21269676119,Ruaca,sunbricks,cow_cart;bicycle;cow_plough
uuid:af0904ee-4fdb-4090-973f-599c81ddf022,Ruaca,sunbricks,motorcyle;radio;cow_plough;solar_panel;mobile_phone
uuid:468797c1-4a65-4f35-9c83-e28ce46972a2,God,sunbricks,cow_cart;motorcyle;bicycle;radio;sterio;cow_plough;solar_panel;solar_torch;table;mobile_phone
uuid:602cd3f6-4a97-49c6-80e3-bcfd5c78dfa4,God,sunbricks,cow_cart;bicycle;radio;cow_plough;table
uuid:e7c51ac4-24e4-475e-88e7-f85e896945e3,Ruaca,sunbricks,bicycle;radio;cow_plough;table;mobile_phone
uuid:01210861-aba1-4268-98d0-0260e05f5155,Ruaca,burntbricks,cow_cart;motorcyle;bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone
uuid:77335b2e-8812-4a35-b1e5-ca9ab626dfea,Ruaca,muddaub,radio;solar_torch;mobile_phone
uuid:02b05c68-302e-4e7a-b229-81cb1377fd29,Ruaca,burntbricks,bicycle;radio;cow_plough;solar_panel;solar_torch;mobile_phone
uuid:fa201fce-4e94-44b8-b435-c558c2e1ed55,Ruaca,muddaub,bicycle;cow_plough;solar_panel;mobile_phone
uuid:628fe23d-188f-43e4-a203-a4bf3257d461,Ruaca,sunbricks,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone
uuid:e4f4d6ba-e698-45a5-947f-ba6da88cc22b,God,burntbricks,cow_cart;bicycle;radio;cow_plough;solar_panel;table;mobile_phone
